#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE20B
#Date Time: 2021-12-18 19:20:11.627
#Sample rate: 8.33333e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Pulse Condition: Positive Level: 830 uV LCondition: Less Length: 500 ms Hyst.: 100 mV HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 div Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: -4.4 V Attenuation: 1 X

Time (s),Channel 1 (V),Channel 2 (V)
-0.0001980487359714862,-0.3824660295467505,3.292613468573211
-0.0001979287359714862,-0.3824660295467505,3.296355737083075
-0.0001978087359714861,-0.3862034616333014,3.292613468573212
-0.0001976887359714862,-0.3824660295467505,3.296355737083075
-0.0001975687359714861,-0.3862034616333014,3.292613468573211
-0.0001974487359714862,-0.3824660295467522,3.292613468573211
-0.0001973287359714862,-0.3899408937198559,3.288871200063348
-0.0001972087359714862,-0.3862034616333049,3.288871200063348
-0.0001970887359714862,-0.3862034616333032,3.296355737083075
-0.0001969687359714861,-0.3862034616333049,3.292613468573209
-0.0001968487359714862,-0.3899408937198559,3.288871200063348
-0.0001967287359714861,-0.3899408937198541,3.296355737083075
-0.0001966087359714862,-0.3862034616333049,3.296355737083075
-0.0001964887359714862,-0.3899408937198559,3.296355737083075
-0.0001963687359714862,-0.3862034616333049,3.296355737083075
-0.0001962487359714862,-0.3862034616333032,3.300098005592938
-0.0001961287359714861,-0.3824660295467505,3.30009800559294
-0.0001960087359714862,-0.3824660295467505,3.303840274102801
-0.0001958887359714861,-0.3862034616332998,3.303840274102801
-0.0001957687359714862,-0.3787285974602012,3.303840274102801
-0.0001956487359714862,-0.3862034616333032,3.300098005592938
-0.0001955287359714862,-0.3824660295467522,3.300098005592938
-0.0001954087359714862,-0.3787285974601978,3.303840274102801
-0.0001952887359714861,-0.3824660295467505,3.30009800559294
-0.0001951687359714862,-0.3824660295467505,3.303840274102801
-0.0001950487359714861,-0.3824660295467505,3.296355737083075
-0.0001949287359714862,-0.3749911653736485,3.296355737083075
-0.0001948087359714862,-0.3787285974601978,3.296355737083075
-0.0001946887359714862,-0.3787285974601978,3.296355737083075
-0.0001945687359714862,-0.3824660295467505,3.296355737083075
-0.0001944487359714862,-0.3824660295467505,3.300098005592938
-0.0001943287359714862,-0.3824660295467505,3.292613468573211
-0.0001942087359714861,-0.3824660295467505,3.296355737083075
-0.0001940887359714861,-0.3824660295467505,3.296355737083075
-0.0001939687359714862,-0.3787285974601978,3.292613468573211
-0.0001938487359714862,-0.3824660295467505,3.292613468573211
-0.0001937287359714862,-0.3787285974601978,3.292613468573211
-0.0001936087359714862,-0.3824660295467505,3.300098005592938
-0.0001934887359714862,-0.3787285974601978,3.296355737083075
-0.0001933687359714861,-0.3787285974601978,3.296355737083075
-0.0001932487359714862,-0.3787285974601978,3.296355737083075
-0.0001931287359714862,-0.3787285974601978,3.303840274102801
-0.0001930087359714862,-0.3749911653736451,3.300098005592938
-0.0001928887359714862,-0.3787285974601978,3.300098005592938
-0.0001927687359714862,-0.3749911653736451,3.303840274102801
-0.0001926487359714862,-0.3787285974601978,3.296355737083075
-0.0001925287359714861,-0.3712537332870924,3.296355737083075
-0.0001924087359714862,-0.3749911653736451,3.300098005592938
-0.0001922887359714862,-0.3749911653736451,3.303840274102801
-0.0001921687359714862,-0.3712537332870924,3.303840274102801
-0.0001920487359714862,-0.3749911653736451,3.307582542612665
-0.0001919287359714862,-0.3712537332870924,3.296355737083075
-0.0001918087359714862,-0.3749911653736451,3.296355737083075
-0.0001916887359714861,-0.3712537332870924,3.300098005592938
-0.0001915687359714862,-0.3749911653736451,3.288871200063348
-0.0001914487359714862,-0.3712537332870924,3.292613468573211
-0.0001913287359714862,-0.3712537332870924,3.300098005592938
-0.0001912087359714862,-0.3749911653736451,3.296355737083075
-0.0001910887359714862,-0.3787285974601978,3.300098005592938
-0.0001909687359714862,-0.3749911653736451,3.296355737083075
-0.0001908487359714861,-0.3749911653736451,3.300098005592938
-0.0001907287359714862,-0.3749911653736451,3.303840274102801
-0.0001906087359714862,-0.3749911653736451,3.303840274102801
-0.0001904887359714862,-0.3675163012005397,3.300098005592938
-0.0001903687359714862,-0.363778869113987,3.303840274102801
-0.0001902487359714862,-0.363778869113987,3.300098005592938
-0.0001901287359714861,-0.3675163012005397,3.300098005592938
-0.0001900087359714861,-0.3712537332870924,3.300098005592938
-0.0001898887359714862,-0.3712537332870924,3.303840274102801
-0.0001897687359714862,-0.3675163012005397,3.303840274102801
-0.0001896487359714862,-0.3675163012005397,3.303840274102801
-0.0001895287359714862,-0.3675163012005397,3.303840274102801
-0.0001894087359714862,-0.363778869113987,3.300098005592938
-0.0001892887359714861,-0.363778869113987,3.307582542612665
-0.0001891687359714861,-0.363778869113987,3.300098005592938
-0.0001890487359714862,-0.363778869113987,3.300098005592938
-0.0001889287359714862,-0.363778869113987,3.300098005592938
-0.0001888087359714862,-0.363778869113987,3.300098005592938
-0.0001886887359714862,-0.3600414370274343,3.292613468573211
-0.0001885687359714862,-0.363778869113987,3.296355737083075
-0.0001884487359714861,-0.3675163012005397,3.296355737083075
-0.0001883287359714862,-0.3675163012005397,3.296355737083075
-0.0001882087359714862,-0.363778869113987,3.300098005592938
-0.0001880887359714862,-0.363778869113987,3.292613468573211
-0.0001879687359714862,-0.363778869113987,3.296355737083075
-0.0001878487359714862,-0.3712537332870924,3.296355737083075
-0.0001877287359714862,-0.363778869113987,3.292613468573211
-0.0001876087359714861,-0.363778869113987,3.292613468573211
-0.0001874887359714862,-0.363778869113987,3.292613468573211
-0.0001873687359714862,-0.363778869113987,3.296355737083075
-0.0001872487359714862,-0.3600414370274343,3.296355737083075
-0.0001871287359714862,-0.3675163012005397,3.300098005592938
-0.0001870087359714862,-0.3675163012005397,3.300098005592938
-0.0001868887359714862,-0.363778869113987,3.296355737083075
-0.0001867687359714861,-0.363778869113987,3.300098005592938
-0.0001866487359714862,-0.3712537332870924,3.296355737083075
-0.0001865287359714862,-0.3712537332870924,3.296355737083075
-0.0001864087359714862,-0.3712537332870924,3.307582542612665
-0.0001862887359714862,-0.3712537332870924,3.300098005592938
-0.0001861687359714862,-0.3712537332870924,3.296355737083075
-0.0001860487359714862,-0.3712537332870924,3.303840274102801
-0.0001859287359714861,-0.3749911653736451,3.300098005592938
-0.0001858087359714862,-0.3712537332870924,3.300098005592938
