#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE20B
#Date Time: 2021-12-18 20:55:42.919
#Sample rate: 1.11111e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Pulse Condition: Positive Level: 3.34132 V LCondition: Less Length: 0 s Hyst.: 100 mV HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: -3 div Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: -3 V Attenuation: 1 X

Time (s),Channel 1 (V),Channel 2 (V)
-0.000305189365493655,4.91639915425527,-0.05045687713245931
-0.000305099365493655,4.920136586341822,-0.04297234011273258
-0.0003050093654936549,4.916399154255275,-0.04297234011272577
-0.0003049193654936549,4.920136586341824,-0.04671460862258722
-0.0003048293654936549,4.923874018428378,-0.05419914564231269
-0.0003047393654936549,4.912661722168727,-0.0504568771324542
-0.0003046493654936549,4.920136586341822,-0.0504568771324525
-0.0003045593654936549,4.916399154255275,-0.0504568771324525
-0.0003044693654936549,4.920136586341826,-0.0504568771324525
-0.0003043793654936549,4.916399154255274,-0.04671460862258892
-0.0003042893654936549,4.923874018428379,-0.03923007160286218
-0.0003041993654936549,4.920136586341826,-0.0504568771324525
-0.0003041093654936549,4.923874018428379,-0.04671460862258892
-0.0003040193654936549,4.920136586341822,-0.04297234011272577
-0.000303929365493655,4.912661722168728,-0.04297234011272577
-0.000303839365493655,4.91639915425527,-0.03923007160286558
-0.0003037493654936549,4.916399154255274,-0.03548780309300199
-0.0003036593654936549,4.920136586341824,-0.04671460862258381
-0.0003035693654936549,4.920136586341826,-0.0354878030930037
-0.0003034793654936549,4.916399154255275,-0.03923007160286048
-0.0003033893654936549,4.920136586341824,-0.03923007160286218
-0.0003032993654936549,4.923874018428378,-0.03923007160286218
-0.0003032093654936549,4.908924290082169,-0.04671460862258892
-0.0003031193654936549,4.916399154255274,-0.04297234011272577
-0.0003030293654936549,4.901449425909063,-0.04297234011272577
-0.0003029393654936549,4.912661722168721,-0.03923007160286218
-0.0003028493654936549,4.916399154255274,-0.03548780309299859
-0.0003027593654936549,4.908924290082171,-0.03548780309300029
-0.000302669365493655,4.912661722168718,-0.03923007160285878
-0.000302579365493655,4.91639915425527,-0.03923007160286218
-0.000302489365493655,4.920136586341822,-0.03923007160286218
-0.0003023993654936549,4.916399154255275,-0.04297234011272407
-0.0003023093654936549,4.916399154255274,-0.03923007160286388
-0.0003022193654936549,4.912661722168723,-0.04297234011272407
-0.0003021293654936549,4.916399154255272,-0.04671460862258722
-0.0003020393654936549,4.931348882601478,0.2713782147156608
-0.0003019493654936549,4.931348882601485,0.8851102503334136
-0.0003018593654936549,5.028522116851855,1.738347470582284
-0.0003017693654936549,4.097901527300235,2.325883626630848
-0.0003016793654936549,0.9621960066825279,2.251038256433578
-0.0003015893654936549,0.02036312087125003,2.606553764870608
-0.0003014993654936549,-0.00579890373461911,2.9658115418175
-0.000301409365493655,-0.01701119999426661,3.175378578369664
-0.000301319365493655,-0.0170111999942768,3.268935291116355
-0.000301229365493655,-0.02448606416737573,3.310100244724901
-0.0003011393654936549,-0.0319609283404844,3.332553855784109
-0.0003010493654936549,-0.0319609283404878,3.340038392803843
-0.0003009593654936549,-0.04317322460014084,3.343780661313708
-0.0003008693654936549,-0.04317322460014594,3.355007466843296
-0.0003007793654936549,-0.04317322460014594,3.347522929823577
-0.0003006893654936549,-0.04691065668669836,3.355007466843301
-0.0003005993654936549,-0.04691065668669836,3.347522929823573
-0.0003005093654936549,-0.04691065668669836,3.351265198333437
-0.0003004193654936549,-0.04691065668669836,3.347522929823573
-0.0003003293654936549,-0.04691065668669836,3.351265198333437
-0.0003002393654936549,-0.04691065668669836,3.347522929823573
-0.0003001493654936549,-0.03943579251359478,3.358749735353159
-0.000300059365493655,-0.04317322460014254,3.347522929823584
-0.000299969365493655,-0.03943579251359648,3.355007466843294
-0.0002998793654936549,-0.03943579251359308,3.351265198333439
-0.0002997893654936549,-0.04691065668669496,3.351265198333437
-0.0002996993654936549,-0.04317322460014764,3.343780661313714
-0.0002996093654936549,-0.04691065668669666,3.351265198333433
-0.0002995193654936549,-0.04691065668669836,3.347522929823575
-0.0002994293654936549,-0.03943579251359648,3.347522929823573
-0.0002993393654936549,-0.04317322460014594,3.34378066131371
-0.0002992493654936549,-0.03943579251359308,3.34378066131371
-0.0002991593654936549,-0.04317322460014594,3.34378066131371
-0.0002990693654936549,-0.04317322460014594,3.347522929823573
-0.0002989793654936549,-0.04317322460014594,3.351265198333437
-0.0002988893654936549,-0.03569836042704237,3.355007466843297
-0.000298799365493655,-0.03943579251358968,3.34752292982358
-0.000298709365493655,-0.0319609283404946,3.347522929823573
-0.0002986193654936549,-0.03569836042703727,3.343780661313714
-0.0002985293654936549,-0.03569836042704067,3.351265198333433
-0.0002984393654936549,-0.04317322460014254,3.343780661313714
-0.0002983493654936549,-0.03569836042704407,3.347522929823572
-0.0002982593654936549,-0.0319609283404895,3.351265198333435
-0.0002981693654936549,-0.02822349625393664,3.347522929823575
-0.0002980793654936549,-0.03569836042704067,3.34378066131371
-0.0002979893654936549,-0.02822349625393494,3.347522929823573
-0.0002978993654936549,-0.0319609283404878,3.347522929823573
-0.0002978093654936549,-0.02822349625393494,3.347522929823573
-0.0002977193654936549,-0.03569836042704067,3.351265198333437
-0.0002976293654936549,-0.0319609283404878,3.34752292982357
-0.000297539365493655,-0.0319609283404878,3.340038392803853
-0.000297449365493655,-0.0319609283404878,3.347522929823567
