#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE20B
#Date Time: 2021-12-18 19:17:53.425
#Sample rate: 5e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Pulse Condition: Positive Level: 830 uV LCondition: Less Length: 500 ms Hyst.: 100 mV HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 div Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: -4.4 V Attenuation: 1 X

Time (s),Channel 1 (V),Channel 2 (V)
-0.000649902479338843,-0.03114741341079754,-0.02074836191465845
-0.000649702479338843,-0.03488484549735023,-0.02449063042452249
-0.000649502479338843,-0.03488484549735023,-0.02074836191466016
-0.000649302479338843,-0.03488484549734853,-0.02449063042452249
-0.0006491024793388431,-0.03114741341079924,-0.02449063042452249
-0.0006489024793388431,-0.02740998132424655,-0.02823289893438393
-0.0006487024793388431,-0.02740998132424485,-0.02449063042452249
-0.0006485024793388431,-0.03114741341079754,-0.02823289893438563
-0.000648302479338843,-0.03114741341079754,-0.02449063042452249
-0.000648102479338843,-0.02740998132424485,-0.02449063042452249
-0.000647902479338843,-0.03114741341079754,-0.02449063042452249
-0.000647702479338843,-0.02740998132424485,-0.02449063042452249
-0.000647502479338843,-0.03488484549735023,-0.02074836191465845
-0.000647302479338843,-0.03488484549735023,-0.02449063042452249
-0.000647102479338843,-0.02740998132424485,-0.02074836191465845
-0.000646902479338843,-0.03114741341079754,-0.02449063042452249
-0.000646702479338843,-0.03114741341079754,-0.02449063042452249
-0.000646502479338843,-0.02740998132424485,-0.02449063042452249
-0.000646302479338843,-0.03114741341079754,-0.02074836191465845
-0.000646102479338843,-0.03114741341079754,-0.02449063042452249
-0.000645902479338843,-0.03488484549735023,-0.02449063042452249
-0.000645702479338843,-0.03114741341079754,-0.01700609340479531
-0.000645502479338843,-0.03862227758390292,-0.02449063042452249
-0.000645302479338843,-0.03862227758390292,-0.02449063042452249
-0.000645102479338843,-0.03114741341079754,-0.02823289893438563
-0.000644902479338843,-0.03862227758389952,-0.03197516744424708
-0.0006447024793388431,-0.03114741341080094,-0.02823289893438733
-0.0006445024793388431,-0.03488484549734853,-0.02074836191466186
-0.0006443024793388431,-0.03488484549735023,-0.02823289893438563
-0.0006441024793388431,-0.03114741341079754,-0.02449063042452249
-0.000643902479338843,-0.03114741341079754,-0.02074836191465845
-0.000643702479338843,-0.03862227758390292,-0.02449063042452249
-0.000643502479338843,-0.03488484549735023,-0.02449063042452249
-0.000643302479338843,-0.03862227758390292,-0.02449063042452249
-0.000643102479338843,-0.06104687010321906,0.03538566573329316
-0.000642902479338843,-0.4833766958836731,1.120643533593698
-0.000642702479338843,-0.569337633874385,2.542705567341815
-0.000642502479338843,-0.509538720489542,3.227540704646829
-0.000642302479338843,-0.4983264242298838,3.343551028452596
