#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE20B
#Date Time: 2021-12-18 19:34:19.647
#Sample rate: 3.44828e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Pulse Condition: Positive Level: -5.88 mV LCondition: Less Length: 500 ms Hyst.: 100 mV HoldOff: 100 ns
#Channel 1: Range: 50 mV/div Offset: 1.2 div Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: -2.16 V Attenuation: 1 X

Time (s),Channel 1 (V),Channel 2 (V)
-0.000469162505800464,-0.00359913086318951,1.725752729965397
-0.000468872505800464,-0.003258818819657414,1.729156081236155
-0.000468582505800464,-0.005300691080856806,1.731198091998612
-0.0004682925058004642,-0.008023187429119772,1.735282113523519
-0.0004680025058004641,-0.008363499472654036,1.735962783777672
-0.0004677125058004641,-0.007342563342055116,1.732219097379839
-0.0004674225058004641,-0.00462006699378921,1.729156081236155
-0.0004671325058004641,-0.003258818819656485,1.727794740727851
-0.0004668425058004641,-0.003258818819656485,1.728475410982003
-0.0004665525058004641,-0.004960379037322389,1.73119809199861
-0.0004662625058004641,-0.008023187429121011,1.734601443269369
-0.0004659725058004641,-0.00836349947265419,1.734941778396445
-0.000465682505800464,-0.008023187429121011,1.734261108142293
-0.000465392505800464,-0.006661939254988286,1.730177086617382
-0.000465102505800464,0.003547422051007124,2.072554224455733
-0.000464812505800464,-0.001897570645523761,1.694101563147337
-0.000464522505800464,-0.004279754950256023,1.726433400219547
-0.000464232505800464,-0.003599130863190129,1.720988038186337
-0.000463942505800464,-0.004620066993789519,1.729156081236156
-0.000463652505800464,-0.005300691080856806,1.732219097379838
-0.0004633625058004642,-0.008023187429119772,1.732559432506913
-0.0004630725058004641,-0.008363499472654036,1.735622448650595
-0.0004627825058004641,-0.00666193925498906,1.731198091998612
-0.0004624925058004641,-0.003939442906724083,1.728135075854928
-0.0004622025058004641,-0.003939442906722844,1.727794740727851
-0.0004619125058004641,-0.003939442906722844,1.729156081236155
-0.0004616225058004641,-0.005300691080855569,1.731538427125686
-0.0004613325058004641,-0.00836349947265419,1.735962783777672
-0.0004610425058004641,-0.008023187429121011,1.735282113523521
-0.000460752505800464,-0.008023187429121011,1.734261108142293
-0.000460462505800464,-0.005981315167921927,1.730857756871534
-0.000460172505800464,-0.003599130863189665,1.728475410982003
-0.000459882505800464,-0.003258818819656485,1.728475410982003
-0.000459592505800464,-0.003599130863189665,1.729836751490306
-0.000459302505800464,0.006610230442800793,2.038520711748
-0.000459012505800464,-0.004279754950257416,1.722689713821718
-0.000458722505800464,-0.007342563342054806,1.733920773015215
-0.0004584325058004639,-0.007682875385588605,1.72881574610908
-0.0004581425058004642,-0.009384435603252961,1.731198091998609
-0.0004578525058004641,-0.007682875385588605,1.732219097379837
-0.0004575625058004641,-0.004620066993790603,1.727114070473701
-0.0004572725058004641,-0.003599130863189665,1.727114070473699
-0.0004569825058004641,-0.003939442906722844,1.72949641636323
-0.0004566925058004641,-0.005300691080855569,1.731878762252762
-0.0004564025058004641,-0.008023187429121011,1.734941778396445
-0.0004561125058004641,-0.009044123559720556,1.734941778396445
-0.0004558225058004641,-0.00836349947265419,1.734261108142293
-0.000455532505800464,-0.005981315167921927,1.731538427125686
-0.000455242505800464,-0.003939442906722844,1.728815746109079
-0.000454952505800464,-0.003599130863189665,1.728815746109079
-0.000454662505800464,-0.004279754950256023,1.729156081236155
-0.000454372505800464,-0.005981315167922701,1.732559432506914
-0.000454082505800464,-0.007682875385588141,1.733920773015218
-0.000453792505800464,-0.008363499472654036,1.73528211352352
-0.000453502505800464,-0.008023187429119928,1.733240102761063
-0.0004532125058004642,-0.005641003124389831,1.728815746109081
-0.0004529225058004641,-0.003939442906723618,1.728135075854927
-0.0004526325058004641,-0.003939442906722844,1.728135075854927
-0.0004523425058004641,0.004908670225139841,2.037840041493992
-0.0004520525058004641,-0.003939442906722844,1.729836751490306
-0.0004517625058004641,-0.002918506776123306,1.726093065092472
-0.0004514725058004641,-0.005981315167921927,1.727454405600775
-0.0004511825058004641,-0.00836349947265419,1.734601443269369
-0.0004508925058004641,-0.008023187429121011,1.733580437888141
-0.000450602505800464,-0.007002251298521472,1.730857756871534
-0.000450312505800464,-0.005641003124388748,1.728815746109079
-0.000450022505800464,-0.003258818819656485,1.728815746109079
-0.000449732505800464,-0.003599130863189665,1.728475410982003
-0.000449442505800464,-0.004960379037322389,1.730517421744458
-0.000449152505800464,-0.007342563342055116,1.734601443269369
-0.000448862505800464,-0.008363499472654344,1.735622448650596
-0.000448572505800464,-0.008703811516186596,1.735622448650595
-0.0004482825058004642,-0.007002251298522246,1.732559432506915
-0.0004479925058004642,-0.004620066993790293,1.729156081236156
-0.0004477025058004641,-0.003939442906723154,1.728135075854927
-0.0004474125058004641,-0.003939442906722844,1.7271140704737
-0.0004471225058004641,-0.005641003124388748,1.730857756871534
-0.0004468325058004641,-0.007682875385587831,1.733580437888141
-0.0004465425058004641,-0.00836349947265419,1.734941778396445
-0.0004462525058004641,-0.008023187429121011,1.733920773015217
-0.0004459625058004641,-0.006321627211455107,1.730857756871534
-0.0004456725058004641,-0.00462006699378921,1.729156081236155
-0.000445382505800464,-0.003599130863189665,1.727794740727851
-0.000445092505800464,-0.003599130863189665,1.728135075854927
-0.000444802505800464,-0.005300691080855569,1.731538427125686
-0.000444512505800464,-0.008023187429121011,1.733920773015217
-0.000444222505800464,-0.008363499472651715,1.734601443269526
-0.000443932505800464,-0.00291850677612083,2.081402937759526
